20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1
1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,3,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,1,0,0,0,1
1,1,1,1,1,0,0,0,0,0,1,0,1,2,2,0,0,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1,P,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,0,0,1,0,0,1
1,1,1,1,1,0,0,1,2,2,1,0,0,0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1
<<<<<<< 2c470001a8f1c8b9ad772528fa2f0991290cc66d
1,0,1,0,0,50,100,0,0,0,101,0,0,0,2,2,2,2,0,0,1
1,0,0,1,0,0,103,0,0,0,102,0,0,0,0,0,0,0,0,0,1
=======
1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
>>>>>>> cbba293360ae8715e5ec059f1d98696ca266308d
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
