18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,G,0,1,1,1
1,50,0,0,0,0,0,0,0,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,0,50,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,101,50,0,50,0,50,0,50,0,103,0,0,0,0,0,0,0,0,1,1,1
1,50,0,50,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,0,50,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,E,E,1,1,1
1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E,E,E,T
1,50,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,E,E,E,E,E
1,50,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,E,E,1,1,1
1,50,0,50,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,102,1,1,1
1,50,0,50,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,0,50,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,1,1,1
1,50,0,50,0,50,0,50,0,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,0,0,0,0,0,0,104,50,0,50,50,50,50,50,50,50,0,0,1,1,1
1,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
